Price,Close,High,Low,Open,Volume
Ticker,AVANTIFEED.NS,AVANTIFEED.NS,AVANTIFEED.NS,AVANTIFEED.NS,AVANTIFEED.NS
Date,,,,,
2025-12-03,827.7999877929688,844.0,807.7999877929688,809.5999755859375,1638065
2025-12-04,818.2000122070312,852.5499877929688,814.2999877929688,830.0,1047579
2025-12-05,819.5999755859375,832.2999877929688,811.2000122070312,820.7000122070312,473127
2025-12-08,804.0999755859375,826.5499877929688,799.0,820.9500122070312,390479
2025-12-09,794.75,803.4500122070312,777.4000244140625,800.0,493140
2025-12-10,812.0,839.0,799.0,799.0,1199301
2025-12-11,805.6500244140625,830.0,803.0499877929688,812.4000244140625,578818
2025-12-12,807.0999755859375,814.5,789.2000122070312,810.0499877929688,433146
2025-12-15,811.5999755859375,817.0,802.0499877929688,807.0999755859375,290635
2025-12-16,827.9500122070312,833.5999755859375,811.4000244140625,811.7000122070312,842820
2025-12-17,854.1500244140625,863.9500122070312,823.5499877929688,827.9000244140625,1596251
2025-12-18,856.0499877929688,868.0,841.0999755859375,854.1500244140625,912858
2025-12-19,854.3499755859375,864.5999755859375,849.6500244140625,860.0,420170
2025-12-22,847.1500244140625,857.7000122070312,836.2000122070312,854.0,386232
2025-12-23,856.9000244140625,872.9500122070312,849.5499877929688,851.5999755859375,754333
2025-12-24,821.2999877929688,857.7999877929688,818.4500122070312,856.9000244140625,478690
2025-12-25,821.2999877929688,821.2999877929688,821.2999877929688,821.2999877929688,0
2025-12-26,836.0499877929688,844.9000244140625,815.1500244140625,821.2999877929688,499679
2025-12-29,821.7999877929688,832.4000244140625,816.6500244140625,831.7999877929688,184963
2025-12-30,831.1500244140625,839.0,815.0499877929688,821.7999877929688,291109
2025-12-31,831.9500122070312,838.2000122070312,820.1500244140625,834.0,206481
2026-01-01,878.5,883.75,833.25,837.5499877929688,1560522
2026-01-02,880.25,887.2000122070312,865.5,880.4500122070312,784579
